NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
1.4.2.RELEASE;1.5.0.BUILD-SNAPSHOT;14709
1.4.2.RELEASE;2.0.0.BUILD-SNAPSHOT;9710
1.4.1.RELEASE;1.5.0.BUILD-SNAPSHOT;6122
1.4.1.RELEASE;1.4.2.BUILD-SNAPSHOT;5303
1.4.2.RELEASE;1.4.3.BUILD-SNAPSHOT;5280
1.4.2.RELEASE;1.4.4.BUILD-SNAPSHOT;5208
4.12;4.11;3821
1.3.3.RELEASE;1.3.4.BUILD-SNAPSHOT;3798
1.3.3.RELEASE;1.4.0.BUILD-SNAPSHOT;3791
1.3.5.RELEASE;1.4.0.BUILD-SNAPSHOT;3750
1.4.1.RELEASE;2.0.0.BUILD-SNAPSHOT;3633
1.3.5.RELEASE;1.3.6.BUILD-SNAPSHOT;3425
4.12;4.12;3132
1.2.5.RELEASE;1.3.0.BUILD-SNAPSHOT;2814
1.1.12.RELEASE;1.3.0.BUILD-SNAPSHOT;2688
1.2.5.RELEASE;1.2.6.BUILD-SNAPSHOT;2562
1.2.6.RELEASE;1.2.7.BUILD-SNAPSHOT;2562
1.2.6.RELEASE;1.3.0.BUILD-SNAPSHOT;2556
1.0.0.Final;1.0.0.Final;2525
1.3.6.RELEASE;1.3.7.BUILD-SNAPSHOT;2390
1.3.6.RELEASE;1.4.0.BUILD-SNAPSHOT;2373
1.2.4.RELEASE;1.3.0.BUILD-SNAPSHOT;2295
10.0.0.Final;10.1.0.Final-SNAPSHOT;2219
4.3.4.RELEASE;4.3.4.RELEASE;2203
1.1.12.RELEASE;1.2.4.BUILD-SNAPSHOT;2202
1.4.0.RELEASE;1.4.1.BUILD-SNAPSHOT;2053
1.4.0.RELEASE;1.3.8.BUILD-SNAPSHOT;2049
1.2.4.RELEASE;1.2.5.BUILD-SNAPSHOT;2043
4.3.4.RELEASE;5.0.0.BUILD-SNAPSHOT;2014
3.1.0-BETA1;3.0.7-SNAPSHOT;1953
2.0.1.Final;2.0.1.final;1913
3.1.0-M01;3.1.0-SNAPSHOT;1899
1.3.0.RELEASE;1.3.1.BUILD-SNAPSHOT;1851
4.2.5.RELEASE;4.3.0.BUILD-SNAPSHOT;1841
1;1;1828
1.3.0.RELEASE;1.2.8.BUILD-SNAPSHOT;1786
2.3.0-M03;3.0.0-SNAPSHOT;1774
1.3.2.RELEASE;1.3.3.BUILD-SNAPSHOT;1754
1.1.5.RELEASE;1.1.6.BUILD-SNAPSHOT;1747
1.3.2.RELEASE;1.4.0.BUILD-SNAPSHOT;1744
1.2.2.RELEASE;1.2.3.BUILD-SNAPSHOT;1725
1.0.2.RELEASE;1.1.0.BUILD-SNAPSHOT;1718
3.2.10.RELEASE;4.1.0.BUILD-SNAPSHOT;1680
3.0.0-M05;3.0.0-SNAPSHOT;1649
3.0.1u2;13;1644
15.0;2.0.3;1634
1.2.1.RELEASE;1.2.2.BUILD-SNAPSHOT;1598
4.3.3.RELEASE;4.3.3.RELEASE;1591
4.2.1.RELEASE;4.1.7.RELEASE;1588
1.1.10.RELEASE;1.1.11.BUILD-SNAPSHOT;1578
1.1.5.RELEASE;1.2.0.BUILD-SNAPSHOT;1576
4.1.6.RELEASE;4.1.6.RELEASE;1566
3.2.10.RELEASE;4.0.6.RELEASE;1551
4.2.5.RELEASE;4.2.5.RELEASE;1549
1.2.2.RELEASE;1.3.0.BUILD-SNAPSHOT;1546
3.1.0-M01;3.0.2-SNAPSHOT;1543
10.1.0.Final;11.0.0.Alpha1-SNAPSHOT;1509
9.0.2.Final;10.0.0.CR5-SNAPSHOT;1491
4.3.3.RELEASE;5.0.0.BUILD-SNAPSHOT;1473
1.2.7.RELEASE;1.3.0.BUILD-SNAPSHOT;1449
4.1.0;4.1.0;1444
2.3.0-M03;2.3-SNAPSHOT;1443
3.1.0-BETA1;3.1.0-SNAPSHOT;1410
1.0.2.RELEASE;1.0.3.BUILD-SNAPSHOT;1363
3.2.18.RELEASE;4.3.5.RELEASE;1343
0.9.1;0.9.2-SNAPSHOT;1321
2.2.5;2.3-SNAPSHOT;1319
3.0.0-M05;3.1.0-SNAPSHOT;1305
1.1.10.RELEASE;1.2.1.BUILD-SNAPSHOT;1285
4.0;4.0;1279
3.2.18.RELEASE;5.0.0.BUILD-SNAPSHOT;1273
13.0;2.0.3;1256
1.1.8.RELEASE;1.1.9.BUILD-SNAPSHOT;1254
1.1.8.RELEASE;1.2.0.BUILD-SNAPSHOT;1251
1.2.1.RELEASE;1.1.11.BUILD-SNAPSHOT;1240
3.0.0;13;1237
3.1.0-M10;3.1.0-SNAPSHOT;1214
4.2.7.RELEASE;4.2.7.RELEASE;1200
1.5.1.RELEASE;1.5.2.BUILD-SNAPSHOT;1188
2.3.6;3.1.0-SNAPSHOT;1187
3.2.13.RELEASE;4.0.9.RELEASE;1184
3.1.0-M09;3.0.7-SNAPSHOT;1180
2.0-RC1;2.0;1173
3.2.17.RELEASE;4.2.6.RELEASE;1166
0.9.0;0.9.0;1158
1.1.0.Final;1.1.0.Final;1153
2.2.9;3.0.0-SNAPSHOT;1151
0.9.0;0.9.1-SNAPSHOT;1130
2.2.5;3.0.0-SNAPSHOT;1129
4.1.1.RELEASE;4.1.1.RELEASE;1122
19.0;18.0;1103
1.9.M04;2.0-SNAPSHOT;1098
0.9.1;0.9.1;1089
4.1.1.RELEASE;4.0.7.RELEASE;1080
2.3.4;3.1.0-SNAPSHOT;1076
4.1.3.RELEASE;4.1.3.RELEASE;1072
2.3.0;2.3.1-SNAPSHOT;1060
0.12.1;0.12.2-SNAPSHOT;1033
4.3.6.RELEASE;5.0.0.BUILD-SNAPSHOT;1032
1.3.4.RELEASE;1.4.0.BUILD-SNAPSHOT;1026
1.9.M04;1.9-SNAPSHOT;1024
4.1.6.RELEASE;4.2.0.BUILD-SNAPSHOT;1023
1.1.4.RELEASE;1.2.0.BUILD-SNAPSHOT;1017
